1292,,60732,219852,13192,10,1922.32,10
26412,8182,8092,27432,25082,20,1481.462926,20
392,12842,11592,11622,61782,30,29189.04,30
412,14502,53572,15092,17842,40,42243.2,40
13142,25752,5032,69392,383262,50,80502.616,50
532,5972,6742,70022,94872,,,
8982,6072,247202,86452,137852,,,
1662,26422,8492,488182,39572,,,
992,32332,29762,26212,29582,,,
1602,20462,21992,40592,619512,,,
4502,30352,543962,463582,13452,,,
2092,2492,72372,27712,23932,,,
1502,6232,19062,32642,655962,,,
702,3182,3582,19182,28712,,,
2652,5872,11322,10102,109492,,,
6742,2192,82382,1182552,137682,,,
5842,16722,17932,227102,58992,,,
382,6162,3842,7832,13962,,,
2932,11202,19052,11702,165582,,,
1132,162202,171482,39142,566122,,,
3222,11962,5212,40482,97512,,,
4302,41032,44342,114722,135512,,,
1172,8312,119422,84862,17952,,,
742,2382,29902,36502,22092,,,
3702,6642,13272,58812,51312,,,
3282,8152,34652,26002,28712,,,
5192,49062,7982,99532,25822,,,
1322,1672,78472,15922,160872,,,
802,16682,5982,7762,130892,,,
2132,36912,45072,5552,11412,,,
822,24332,20722,58272,78452,,,
562,4172,37902,75622,210042,,,
852,6692,5762,249162,42872,,,
31062,7352,15462,296242,52372,,,
1342,4732,176802,265362,21552,,,
772,15712,223122,323302,76442,,,
2512,10602,319812,844722,637402,,,
5972,13502,40432,24362,112652,,,
612,4982,14842,18752,169382,,,
5622,21822,14292,125402,234612,,,
10202,43392,245712,27882,12972,,,
27922,0,18562,13002,146742,,,
842,0,4912,11422,22092,,,
1672,0,10392,302402,23002,,,
2682,0,74242,14202,246902,,,
842,0,22152,39862,88612,,,
5942,0,134012,16252,33262,,,
2182,0,18022,15012,104712,,,
3852,0,5162,53292,577992,,,
1522,0,245762,37562,74802,,,
6192,0,462032,76902,77272,,,
992,0,53162,10862,50852,,,
2872,0,64752,23452,241122,,,
282,0,79432,203622,34472,,,
5472,0,11612,97522,116022,,,
2852,0,236882,58032,134822,,,
7242,0,3332,36472,31532,,,
10312,0,8722,410992,118642,,,
14132,0,10462,530892,494542,,,
7042,0,7192,218262,24522,,,
3662,0,51742,53622,78152,,,
392,0,4812,55782,24302,,,
24582,0,43382,139792,122802,,,
2162,0,21982,28342,69612,,,
5592,0,15162,262752,20232,,,
4642,0,7342,17772,42012,,,
7082,0,14802,70942,218332,,,
472,0,36592,220512,82952,,,
892,0,4922,268362,82172,,,
4522,0,251782,100722,6612,,,
802,0,15822,82082,200982,,,
12262,0,12692,33692,89922,,,
2212,0,111132,35542,86102,,,
1042,0,13042,38622,38652,,,
932,0,317642,596252,13552,,,
922,0,12762,45402,14832,,,
6172,0,7282,398632,71352,,,
1272,0,58372,17792,489782,,,
1012,0,9122,134362,260392,,,
1172,0,7302,74212,25952,,,
2182,0,5652,17692,398862,,,
8952,0,7882,11252,39142,,,
101372,0,6302,228602,94592,,,
2132,0,30892,48832,4852,,,
3992,0,24002,7752,9622,,,
1942,0,16382,64352,365292,,,
2402,0,3442,40722,142702,,,
4312,0,26392,27112,49242,,,
1822,0,5582,20092,115722,,,
9372,0,20552,258272,93532,,,
442,0,24932,21942,12712,,,
912,0,10132,15352,32432,,,
2572,0,11482,55102,78632,,,
4842,0,42942,63072,8772,,,
1352,0,26322,173852,48022,,,
1072,0,113932,69552,93112,,,
23092,0,62092,180722,45932,,,
9232,0,17422,17852,72452,,,
332,0,174402,48872,177042,,,
852,0,8002,294762,15672,,,
2272,0,5762,27422,304212,,,
642,0,42542,18742,175242,,,
4722,0,34602,21972,73832,,,
1132,0,7552,66812,17832,,,
322,0,87452,383472,237252,0,,
6642,0,22302,274822,29442,0,,
16762,0,16702,19192,104742,0,,
17962,0,8012,91162,83982,0,,
852,0,88402,221882,252162,0,,
48052,0,52832,17802,31062,0,,
822,0,355152,42502,21362,0,,
992,0,193302,35592,74572,0,,
532,0,97682,91142,11792,0,,
2362,0,5682,109792,14752,0,,
31852,0,73002,7502,30042,0,,
752,0,2812,28752,380402,0,,
442,0,24282,199062,310792,0,,
32782,0,20712,22912,270402,0,,
11332,0,90742,29872,80382,0,,
672,0,6592,463702,290412,0,,
512,0,14422,67862,12812,0,,
792,0,21672,34662,9942,0,,
902,0,206292,11012,220462,0,,
60352,0,1762,15192,13592,0,,
352,0,12592,6772,98542,0,,
592,0,23692,18302,43712,0,,
